customer_id,event_id,event_type,amount,payment_method,failure_reason,customer_age,account_age,previous_successes,previous_failures,retry_count,checkout_visits,cart_value,subscription_age,timestamp,recovery_action,recovery_time,recovered,recovered_amount
337,1,subscription_failure,49.99,bank_transfer,dunning_unresponsive,65,197,7,3,1,1,0.0,80,2026-05-16T01:55:00,sms_nudge,145.24,True,49.99
66,2,checkout_abandonment,40.03,card,payment_form_dropoff,69,36,0,5,1,6,39.85,0,2025-07-17T14:02:00,cart_recovery_email,13.39,False,0.0
116,3,subscription_failure,119.99,google_pay,plan_cancelled_intent,71,1211,0,0,1,0,0.0,690,2026-02-23T09:42:00,dunning_sequence,145.76,True,119.99
85,4,subscription_failure,79.99,card,dunning_unresponsive,57,400,1,4,1,1,0.0,313,2026-07-08T22:37:00,update_payment_method,130.96,False,0.0
100,5,payment_failure,30.15,card,card_expired,62,172,8,0,1,2,0.0,0,2025-05-05T21:11:00,retry_payment,77.12,True,30.15
284,6,subscription_failure,9.99,ach,insufficient_funds,41,1249,2,1,3,1,0.0,921,2025-02-18T08:42:00,sms_nudge,27.46,False,0.0
14,7,checkout_abandonment,31.36,paypal,shipping_cost,42,133,8,2,0,6,32.17,0,2026-01-09T19:37:00,sms_nudge,21.01,False,0.0
362,8,checkout_abandonment,8.99,google_pay,cart_hesitation,54,934,6,4,1,9,9.02,0,2026-07-26T09:59:00,cart_recovery_email,17.49,True,8.99
33,9,payment_failure,31.94,card,card_declined,45,18,6,3,1,1,0.0,0,2025-11-17T16:26:00,retry_payment,55.21,False,0.0
185,10,payment_failure,85.51,card,fraud_hold,41,1358,2,3,0,0,0.0,0,2025-02-07T18:28:00,offer_discount,61.39,True,85.51
177,11,payment_failure,140.23,card,card_declined,24,34,4,4,4,1,0.0,0,2026-05-07T15:54:00,email_reminder,33.16,False,0.0
357,12,checkout_abandonment,26.55,google_pay,payment_form_dropoff,40,1559,0,2,0,9,26.39,0,2026-01-26T07:56:00,cart_recovery_email,54.36,True,26.55
170,13,payment_failure,91.6,card,fraud_hold,65,22,5,1,2,0,0.0,0,2026-01-08T00:33:00,email_reminder,88.81,False,0.0
41,14,checkout_abandonment,28.98,google_pay,session_timeout,66,490,8,4,2,5,29.26,0,2026-01-27T18:42:00,email_reminder,30.97,True,28.98
181,15,checkout_abandonment,8.99,card,shipping_cost,68,70,5,4,2,3,8.92,0,2026-04-11T03:20:00,offer_discount,48.98,True,8.99
186,16,payment_failure,24.47,card,card_declined,29,2117,4,4,3,2,0.0,0,2026-06-27T16:51:00,retry_payment,30.87,False,0.0
96,17,checkout_abandonment,24.86,bank_transfer,comparison_shopping,45,750,0,0,0,5,24.78,0,2025-06-29T18:53:00,wait_retry,9.27,False,0.0
228,18,subscription_failure,79.99,google_pay,insufficient_funds,36,1545,1,5,2,1,0.0,615,2025-09-06T14:38:00,dunning_sequence,125.05,True,79.99
14,19,payment_failure,95.13,ach,insufficient_funds,42,42,8,3,2,2,0.0,0,2025-10-11T00:31:00,sms_nudge,38.83,True,95.13
295,20,payment_failure,37.55,card,network_error,42,1159,4,5,4,1,0.0,0,2025-09-09T15:56:00,offer_discount,18.29,True,22.52
79,21,payment_failure,63.88,ach,insufficient_funds,54,856,0,4,2,2,0.0,0,2026-02-16T01:01:00,wait_retry,19.65,True,63.88
48,22,checkout_abandonment,10.84,ach,cart_hesitation,56,1574,3,4,0,6,10.98,0,2026-02-08T17:23:00,retry_payment,6.31,False,0.0
108,23,subscription_failure,119.88,card,dunning_unresponsive,65,603,4,1,2,1,0.0,310,2025-05-30T16:20:00,retry_payment,112.13,True,119.88
175,24,checkout_abandonment,25.67,card,payment_form_dropoff,62,742,5,1,1,8,25.39,0,2025-09-13T13:40:00,cart_recovery_email,18.23,True,25.67
128,25,subscription_failure,49.99,card,plan_cancelled_intent,30,1572,6,5,3,0,0.0,327,2026-02-18T01:01:00,update_payment_method,122.71,True,49.99
124,26,payment_failure,24.39,apple_pay,card_declined,22,1004,5,5,4,2,0.0,0,2025-08-04T10:57:00,retry_payment,1.78,True,24.39
207,27,payment_failure,49.81,card,network_error,55,1751,4,0,3,1,0.0,0,2025-06-16T10:24:00,retry_payment,73.62,False,0.0
61,28,payment_failure,73.52,apple_pay,card_expired,21,367,0,3,4,1,0.0,0,2026-06-11T23:37:00,update_payment_method,49.37,True,73.52
243,29,checkout_abandonment,37.63,google_pay,session_timeout,38,365,2,2,2,3,37.89,0,2026-05-15T16:03:00,email_reminder,60.75,False,0.0
251,30,checkout_abandonment,15.36,ach,payment_form_dropoff,31,800,8,1,2,7,15.0,0,2025-09-27T20:08:00,email_reminder,62.86,False,0.0
336,31,subscription_failure,49.99,paypal,plan_cancelled_intent,65,1504,8,0,3,0,0.0,1074,2025-12-09T12:57:00,retry_payment,40.58,True,27.87
161,32,checkout_abandonment,22.69,bank_transfer,shipping_cost,42,967,6,5,2,1,23.26,0,2025-06-03T13:47:00,offer_discount,15.32,False,0.0
161,33,subscription_failure,49.99,card,insufficient_funds,42,919,6,6,2,1,0.0,625,2025-04-16T18:39:00,dunning_sequence,136.59,False,0.0
148,34,checkout_abandonment,59.64,google_pay,comparison_shopping,49,492,4,3,1,9,58.29,0,2025-03-18T01:30:00,sms_nudge,68.75,False,0.0
366,35,payment_failure,63.49,card,network_error,54,1202,1,1,2,2,0.0,0,2025-05-04T15:44:00,email_reminder,14.04,False,0.0
343,36,subscription_failure,9.99,paypal,card_expired,24,1790,7,0,5,1,0.0,677,2025-12-11T15:46:00,dunning_sequence,186.36,True,9.99
244,37,checkout_abandonment,27.83,ach,cart_hesitation,44,1838,4,5,0,4,28.28,0,2026-01-08T02:40:00,sms_nudge,30.38,False,0.0
204,38,subscription_failure,19.99,paypal,card_expired,32,412,3,2,2,0,0.0,153,2026-04-26T12:05:00,wait_retry,72.59,False,0.0
69,39,subscription_failure,119.99,apple_pay,account_closed,31,1176,0,1,5,1,0.0,333,2025-04-08T03:48:00,email_reminder,49.57,False,0.0
388,40,payment_failure,32.45,card,card_expired,28,1482,5,0,3,0,0.0,0,2025-06-10T22:28:00,update_payment_method,31.74,True,32.45
169,41,payment_failure,78.08,apple_pay,fraud_hold,34,55,7,0,2,0,0.0,0,2025-10-11T11:44:00,sms_nudge,16.17,False,0.0
395,42,payment_failure,97.21,card,card_expired,70,497,3,0,3,0,0.0,0,2026-04-01T15:02:00,sms_nudge,15.55,False,0.0
282,43,subscription_failure,119.99,paypal,card_expired,62,1016,0,0,4,1,0.0,541,2025-12-20T04:17:00,email_reminder,32.26,False,0.0
275,44,payment_failure,26.09,card,network_error,62,1306,1,2,3,2,0.0,0,2025-08-29T19:32:00,update_payment_method,77.83,True,19.17
414,45,payment_failure,179.15,card,fraud_hold,61,222,5,0,2,2,0.0,0,2026-07-25T23:44:00,email_reminder,67.54,True,179.15
242,46,payment_failure,14.38,paypal,fraud_hold,48,1020,6,2,2,2,0.0,0,2025-06-08T06:11:00,update_payment_method,95.32,False,0.0
